titulo,ranking
Sinister Night 2,1935
War on the Sea,2266
Rebel Inc: Escalation,3279
Tricky Towers,2647
The Long Dark: WINTERMUTE,1991
Field of Glory II: Medieval,1962
FINAL FANTASY® XIII,2547
Planet Zoo: Africa Pack,2077
Element TD 2 - Tower Defense,2528
Ticket to Ride,1805
At Dead Of Night,3422
Total War: WARHAMMER II - The Queen & The Crone,2439
Endzone - A World Apart: Prosperity,1970
SOVL Support Pack,2584
My Supermarket,2448
The Bloodline,2279
"Northgard - Dodsvagr, Clan of the Rat",2582
X4: Oleadas de Avaricia,2441
"",216
Waven,2483
Anno 1800™ - Season 3 Pass,1692
Total War: WARHAMMER - The Grim and the Grave,2227
Swords & Souls: Neverseen,2921
Star Trek Timelines,3898
Halo Wars: Definitive Edition,2111
"Warhammer 40,000: Gladius - Tyranids",2507
Prison Architect 2,2199
Frostpunk: On The Edge,2335
Tales & Tactics,2293
Yi Xian: The Cultivation Card Game,2543
Passpartout: The Starving Artist,2414
Solasta: Crown of the Magister - Palace of Ice,3467
Blade Prince Academy,2608
Rogue Tower,2566
Inkulinati,2702
SPORE™ Galactic Adventures,2103
Expansion - Europa Universalis IV: Emperor,1947
Zero Hour,2500
Kindergarten,2474
Richman 11,2267
SENTRY,3591
Creeper World 4,2360
Rail Route,1910
Age of History II,2150
Godsworn,3322
"",216
"",216
Arma 3 Creator DLC: Spearhead 1944,2105
Phoenix Point,2807
The Jackbox Party Pack 2,3157
Plants vs. Zombies™ La Batalla de Neighborville,1845
Siegebreaker,1929
Stellaris: Toxoids Species Pack,3131
Hello Neighbor,2276
Tavern Master,3094
Planet Zoo: Conservation Pack,2694
Arma 3 Creator DLC: Global Mobilization - Cold War Germany,3223
DNF Duel,3249
Endzone - A World Apart: Distant Places,2378
Ultimate General: Civil War,2872
Jurassic World Evolution 2: Prehistoric Marine Species Pack,2251
Romance of the Three Kingdoms XI with Power Up Kit,2445
三国群英传8 (Kingdom Heroes 8),2836
Call to Arms,2064
Suzerain: Kingdom of Rizia,2302
I Expect You To Die,2828
Bloons TD 5,3242
Empyrion - Galactic Survival,3419
Victoria 3: Dawn of Wonder,2138
Microcivilization,3027
Wall World,2585
20 Minutes Till Dawn,2203
Project Winter,3068
"Warhammer 40,000: Mechanicus - Heretek",1745
Farm Manager World,1931
Mr.Mine,2675
Football Coach: College Dynasty,3789
Age of Empires III: Definitive Edition - Knights of the Mediterranean,2070
Othercide,2776
"Northgard - Brundr & Kaelinn, Clan of the Lynx",2758
月圆之夜 (Night of Full Moon),3274
Crusader Kings III Content Creator Pack: North African Attire,2271
Infinity Kingdom,3468
DYNASTY WARRIORS 9 Empires,3971
Infinifactory,2684
Nordic Ashes: Survivors of Ragnarok,2380
"Warhammer 40,000: Chaos Gate - Daemonhunters",2275
Jurassic World Evolution 2: Cretaceous Predator Pack,2236
